Site,Sodalis,Rosenbergiella,Pantoea,Erwinia,Tatumella,Enterobacter,Klebsiella,Xenorhabdus,Arsenophonus,Rahnella,Serratia,Yersinia,Pseudomonas,Acinetobacter,Chromobacterium,Wolbachia,Bradyrhizobium,Curtobacterium,Myceligenerans,Marinifilum,Other
S1,64.05636585,3.117498375,0.692824153,2.499052993,0.113835597,0.607427334,1.070865712,6.294762959,2.098464144,0.073300753,4.42591822,3.962409373,3.882175738,2.567763161,0.000455199,0.266212726,0.097280308,0.00154484,0.023321867,0.304872315,3.843648383
S2,77.78934769,0.374225686,0.591883641,2.515145538,0.016239569,0.287539609,0.650440245,3.289623039,4.408893288,0.078345265,3.041382039,3.667384162,0.404257039,0.010891531,3.81E-05,0.024568452,0.009558659,0.000239678,0.000716749,0.010841117,2.828438904
S3,0.909965392,57.77345635,0.688217082,0.175216057,2.926899122,1.40603557,0.123870948,0.085705259,0.044532186,0.090118518,0.47145385,0.054334803,19.03370307,0.172534906,0.007655823,1.342042796,0.558294944,0.028555065,0.806526449,11.01083385,2.29004796
S4,74.36723536,0.029592023,0.666378243,2.686008281,0.000164859,0.312266393,0.825186505,4.771228425,4.532445004,0.086004421,3.304865553,4.042440164,0.583233748,0.139841003,0.000436692,0.034052147,0.015432162,0.000756449,0.032145588,0.65851263,2.91177435
S5,67.37809132,0.066437477,0.708969308,3.0968809,0.001921937,0.516289876,1.000439588,5.447405215,2.376590287,0.083676289,4.472397775,5.405331566,1.421844853,0.008037275,2.927562745,0.088586198,0.034745422,0.000775628,0.050970359,1.036003654,3.877042328
S6,73.4855466,0.02837296,0.142436734,2.476183818,0.000461862,0.273242089,0.66758281,3.370103364,4.461368525,3.294651074,1.469994664,4.134964462,0.74940693,1.333458634,0.004107748,0.04441074,0.019384878,0.006124315,0.064179173,1.098623968,2.875394652
S7,73.70972836,0.033901226,0.784598983,2.926387875,0.000221726,0.358275577,0.765417149,4.17764517,4.714413774,0.077514146,3.475023064,4.808168182,0.37353221,0.001442533,0.000146241,0.022123994,0.009044375,0.088130917,0.027969104,0.4144127,3.231902694
S8,3.571985257,3.294301717,0.2258654,0.673952,0.032465383,2.433088561,0.050550323,0.231938551,0.162696436,0.02374064,0.183606907,0.259702189,58.78843731,2.488230081,0.024277143,2.923755247,1.27702068,0.044940235,1.227302169,21.07707053,1.005073241
S9,71.2219979,0.870826267,0.805056743,3.201879527,0.100066314,0.438357952,0.890404604,4.786123295,3.950720117,0.088595754,3.662604351,4.602114744,0.989449031,0.118500216,0.002991385,0.060431008,0.023247143,0.023168885,0.027905678,0.475489325,3.660069761
S10,71.20264351,0.067004496,4.469558701,2.624742399,0.000798704,0.316004134,0.64559606,3.477545791,1.527508701,0.121905741,3.430009557,4.716069766,0.222621705,0.008743827,1.712291977,0.010614253,0.005055002,2.084156917,0.027521492,0.364807948,2.964799319
