Sample,Trees,Cropland,Herbaceous wetland,Grassland,Barren / sparse vegetation
S1,1076887.222,294714.3732,22843.7454,171778.9539,52225.01005
S2,1613640.095,248576.019,22918.8893,165091.1469,90848.97431
S3,532695.1025,681404.8793,0,386615.3621,155848.4472
S4,1217256.026,800507.9597,0,103924.0128,57635.3708
S5,442221.8477,592885.3658,0,198229.6065,60716.27067
S6,920061.9036,1323434.355,0,99715.95443,4809.209558
S7,403447.5956,1439456.536,0,69282.6752,22843.7454
S8,715369.9218,1625587.975,75.14389935,155021.8644,13075.03849
S9,131351.5361,1476502.478,9843.850814,631359.0423,242865.0827
S10,199356.765,981679.9011,2479.748678,806519.4717,137062.4724
